207,"Thabo Sefolosha, SF",Atlanta Hawks,"$3,850,000 "
208,"Nemanja Bjelica, PF",Minnesota Timberwolves,"$3,800,000 "
209,"Nick Collison, PF",Oklahoma City Thunder,"$3,750,000 "
210,"Bojan Bogdanovic, SF",Washington Wizards,"$3,730,653 "
RK,NAME,TEAM,SALARY
211,"Kentavious Caldwell-Pope, SG",Detroit Pistons,"$3,678,319 "
212,"Quincy Pondexter, SG",Chicago Bulls,"$3,617,978 "
213,"Patty Mills, PG",San Antonio Spurs,"$3,578,948 "
214,"Marcus Smart, PG",Boston Celtics,"$3,578,880 "
215,"Willie Cauley-Stein, C",Sacramento Kings,"$3,551,160 "
216,"Drew Gooden, PF",Washington Wizards,"$3,547,000 "
217,"Will Barton, SG",Denver Nuggets,"$3,533,333 "
218,"Paul Pierce, SF",LA Clippers,"$3,527,920 "
219,"Buddy Hield, SG",Sacramento Kings,"$3,517,200 "
220,"Brandon Rush, SG",Minnesota Timberwolves,"$3,500,000 "
RK,NAME,TEAM,SALARY
221,"Mike Miller, SG",Denver Nuggets,"$3,500,000 "
222,"Anthony Morrow, SG",Oklahoma City Thunder,"$3,488,000 "
223,"Trey Burke, PG",Washington Wizards,"$3,386,598 "
224,"Mike Scott, PF",Atlanta Hawks,"$3,333,334 "
225,"KJ McDaniels, SG",Brooklyn Nets,"$3,333,333 "
226,"Troy Daniels, SG",Memphis Grizzlies,"$3,332,940 "
227,"Julius Randle, PF",Los Angeles Lakers,"$3,267,120 "
228,"Emmanuel Mudiay, PG",Denver Nuggets,"$3,241,800 "
229,"CJ McCollum, SG",Portland Trail Blazers,"$3,219,579 "
230,"Jamal Murray, PG",Denver Nuggets,"$3,210,840 "
RK,NAME,TEAM,SALARY
231,"Michael Carter-Williams, PG",Chicago Bulls,"$3,183,526 "
232,"Steven Adams, C",Oklahoma City Thunder,"$3,140,517 "
233,"Kelly Olynyk, C",Boston Celtics,"$3,094,014 "
